Depot,Code,long,lat,address,city,area,PostCode
Avon Site Trans Ltd,9105,51.50853182,-2.697410532,Avonsite Port Edward Centre,Bristol,"Bristol, City of",BS11 9HS
A&D Logistics,9106,55.856,-4.2579,23 Pegasus Avenue,Glasgow,Glasgow City,PA1 2FE
Newell & Wright Container Term,9107,53.429,-1.3582,"Sheffield Road,",Rotherham,Rotherham,S60 1BN
Maritime Transport Ltd,9108,51.465,0.3483,"Tilbury Railport, Ferry Road",Tilbury,Essex,RM18 7NH
Tilbury Depot,9109,51.465,0.3483,Tilbury Quay,Tilbury,Essex,RM18 7EH
Liverpool Depot,9110,53.3996,-2.9689,NULL,Liverpool,Liverpool,L21 1JR
Campbell Port Services Ltd,9111,55.9345,-4.7433,Greenock Ocean Terminal Patrick Street,Greenock,Inverclyde,PA16 8UU
Maritime Leeds,9112,53.77536827,-1.511288478,1 Lockside Road,Leeds,Leeds,LS10 1EP
Titan Containers,9113,51.5085986,-2.697442718,Port Edward Centre St Andrew Road,Bristol,"Bristol, City of",BS11 9HS
LCS Container Services,9114,52.8049,-1.6349,Lichfield Road,Burton upon Trent,Staffordshire,DE14 3HD
Westfield Storage,9115,55.9639,-3.9943,Deerdykes Road Westfield Ind Est,Cumbernauld,North Lanarkshire,G68 9HF
Rigrite,9116,51.9515,1.3342,NULL,Felixstowe,Suffolk,NULL
Cargo Secure,9117,51.9515,1.3342,NULL,Felixstowe,Suffolk,NULL
1ST Containers UK Ltd,9118,51.517,0.1914,MARSHVIEW IND ESTATE  OFF FERRY LANE NORTH,Rainham,"Havering, Greater London",RM13 9DD
Haulier's Yard in Daventry,9119,52.2607,-1.1649,NULL,Daventry,Northamptonshire,NN6 7JZ
Maritime Transport - Off Hire,9120,51.465,0.3483,Tilbury Railport Ferry Road,Tilbury,Essex,RM18 7NH
Corstor,9121,51.9515,1.3342,Sub Station Road,Felixstowe,Suffolk,IP11 3JB
Al-Hushoom ICD,9122,NULL,NULL,PO BOX 20831,Dar es Salaam,Dar es Salaam,.
Campbell Port Services Ltd,9123,56.004,-3.7069,East Quay Wall Grangemouth Docks,Grangemouth,Falkirk,FK3 SUE
Fielding Transport,9124,51.465,0.3483,NULL,Tilbury,Essex,RM18 7HB
Iport Rail Ltd,9125,53.484028,-1.107424,NULL,Doncaster,Doncaster,DN11 0BF
Maritime Transport Ltd,9126,51.9203,-0.6383,NULL,Leighton Buzzard,Bedfordshire,NULL
Goldstar Transport Ltd,9127,53.4561,-2.852,NULL,Knowsley,Knowsley,NULL
Felixstowe North Rail,9128,51.9515,1.3342,NULL,Felixstowe,Suffolk,NULL
Felixstowe South Rail,9129,51.9515,1.3342,NULL,Felixstowe,Suffolk,NULL
